buildingName,roomName,bedName,bedId
Pine Hall,Room-1,Bed-1,2143605e-8854-414b-8ad1-0f0203a370d5
Pine Hall,Room-1,Bed-2,31a6601b-3b48-4e65-a064-75fc34cf80ea
Pine Hall,Room-2,Bed-1,67522423-d8c3-40d1-94dc-d000efb39064
Pine Hall,Room-2,Bed-2,31b16eda-2189-4f0b-89a8-f421ffb55b27
Pine Hall,Room-2,Bed-3,67466db1-4544-4812-a08d-147bf7eff4b1
Pine Hall,Room-2,Bed-4,1ca8ce81-fa90-4d56-8c74-3db0c6401b85
Pine Hall,Room-3,Bed-1,7620d2c1-0090-43e5-8e18-c298375f1d87
Pine Hall,Room-3,Bed-2,48ecbc38-39ac-40cc-9cfe-d5a5e6042b13
Pine Hall,Room-3,Bed-3,690bf8ee-7b52-45e9-945a-84b6eff802f8
Pine Hall,Room-3,Bed-4,69ade99a-603f-436c-8bbe-d914860a7574
Oak Hall,Room-4,Bed-1,62e014b7-5e43-4634-aa27-64ed6cdf121b
Oak Hall,Room-4,Bed-2,6a2b3a7f-7d06-4cfa-bfbc-752679a64c0e
Oak Hall,Room-4,Bed-3,d40236dd-61c0-4a69-a8cb-1e8d905111bd
Oak Hall,Room-4,Bed-4,1a2d3615-2080-4b06-8550-6b5e370a4ef0
Pine Hall,Room-5,Bed-1,e1045033-5bf1-4813-b857-3764b63627f6
Pine Hall,Room-5,Bed-2,987a52b9-86d6-462f-8cac-85e790f32d68
Pine Hall,Room-5,Bed-3,56a31cac-45da-4e72-ad96-27ea96d4c2d8
Pine Hall,Room-6,Bed-1,69f91100-52fc-4288-8121-7fe35278f10a
Pine Hall,Room-6,Bed-2,ae0c1e52-0608-4660-9a90-a31b2fe3a126
Pine Hall,Room-6,Bed-3,ae208a60-cb66-40a9-a30d-2f9606815143
Birch Hall,Room-7,Bed-1,44eaa783-4872-45ae-a939-5f5ac1112f8a
Birch Hall,Room-7,Bed-2,dd6dbcfb-611a-495a-a891-c41cbed43c6d
Birch Hall,Room-7,Bed-3,010cb30d-ab1f-45ae-aa02-332fea851cc7
Birch Hall,Room-7,Bed-4,1c2a56db-2869-4a89-920e-2dc094d1ac9d
Birch Hall,Room-8,Bed-1,ce1102e5-5862-4fd8-a2ca-4eabaa061c3d
Birch Hall,Room-8,Bed-2,991ab14c-02d3-42b3-95e1-c2bc8a79a4fd
Birch Hall,Room-9,Bed-1,7dc7ef06-f5a6-430b-a0c2-24c67511997d
Birch Hall,Room-9,Bed-2,c1ce808b-8398-49a0-af02-24912fe074d5
Birch Hall,Room-9,Bed-3,8daefdee-0465-47c9-8888-8b1ad0bd679f
Birch Hall,Room-9,Bed-4,e487cd82-d4b1-4920-b892-d36274e654f3
