personId,buildingName,roomName,bedName
5594bbf8-f2fe-4a4f-b88f-54df252d0309,Pine Hall,Room-1,Bed-1
05ee7cdf-9306-492c-a2d1-3104928640ec,Pine Hall,Room-1,Bed-2
4b9c0758-de62-47d6-b78c-f29e754970af,Pine Hall,Room-2,Bed-1
045bdbc8-9945-4f75-bf1c-2a8079073d31,Pine Hall,Room-2,Bed-2
4b86c4b1-c1e1-4714-9b34-0153654200c1,Pine Hall,Room-2,Bed-3
38105ca3-9f4c-435a-898d-6cdef0b086f4,Pine Hall,Room-2,Bed-4
ffc27e39-615e-4d11-871f-7f4bf7cf8f2b,Pine Hall,Room-3,Bed-1
2908e3ca-b282-460d-b0fa-f951c014f908,Pine Hall,Room-3,Bed-2
285afe71-e92a-4cce-b503-0491156d5295,Pine Hall,Room-3,Bed-3
0bc9196f-5392-4de2-82d9-6db439797175,Pine Hall,Room-3,Bed-4
81da5bbd-2fdf-4a3e-8fbc-e90823dd17cc,Oak Hall,Room-4,Bed-1
903505f4-3cd9-4551-a862-fe7488389271,Oak Hall,Room-4,Bed-2
34b0dc37-445b-4539-a2f9-b52716389ae3,Oak Hall,Room-4,Bed-3
66492a4f-0832-4f81-9489-589f17cf54fc,Oak Hall,Room-4,Bed-4
37949121-3b04-4a9a-9145-90f78cff18c8,Pine Hall,Room-5,Bed-1
d5e8d377-6e76-4b40-b424-3e02b822bd19,Pine Hall,Room-5,Bed-2
b45d7f03-5b4e-400e-a4d3-30c2d6116caa,Pine Hall,Room-5,Bed-3
db4cd7b2-eb38-4f1e-aa9c-fdf8876d92d1,Pine Hall,Room-6,Bed-1
4e51e114-5b48-4325-81d9-0366ce849929,Pine Hall,Room-6,Bed-2
4634c789-6ab0-45b8-baa4-b754adadcca4,Pine Hall,Room-6,Bed-3
99a65013-189b-4a77-85d6-e7153c04f2db,Birch Hall,Room-7,Bed-1
fc1179d6-a61e-4f6c-9986-210e99da9491,Birch Hall,Room-7,Bed-2
da5fc4f4-8174-4ab6-acc4-6bfd3673c5ce,Birch Hall,Room-7,Bed-3
01f289cb-892a-42c5-871a-17619e64dae4,Birch Hall,Room-7,Bed-4
657e2cde-1100-414a-857c-da36c232cecf,Birch Hall,Room-8,Bed-1
da49a031-9770-4c30-9996-223912fbcc84,Birch Hall,Room-8,Bed-2
c4583158-8621-4dd1-b9dc-e01317b9bec8,Birch Hall,Room-9,Bed-1
f822c764-9535-4d61-acef-3be182e1e227,Birch Hall,Room-9,Bed-2
